rho,logF,log2n,n,m,delta,eta,feasible,t,achieved_bits,floor_bits,proof_size_bits,proof_size_kb,mca_bound,list_bound,note
1/2,128.0,20,1048576,1,0.42525338983050853,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.425253). No finite t helps.
1/2,128.0,20,1048576,1,0.43355845762711864,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.433558). No finite t helps.
1/2,128.0,20,1048576,1,0.4418635254237288,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.441864). No finite t helps.
1/2,128.0,20,1048576,1,0.45016859322033903,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.450169). No finite t helps.
1/2,128.0,20,1048576,1,0.4584736610169492,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.458474). No finite t helps.
1/2,128.0,20,1048576,1,0.4667787288135593,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.466779). No finite t helps.
1/2,128.0,20,1048576,1,0.47508379661016953,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.475084). No finite t helps.
1/2,128.0,20,1048576,1,0.4833888644067797,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.483389). No finite t helps.
1/2,128.0,20,1048576,1,0.49169393220338986,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.491694). No finite t helps.
1/2,128.0,20,1048576,1,0.499999,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.499999). No finite t helps.
1/2,128.0,24,16777216,1,0.01,0.2828932188134524,False,,101.8189284064699,101.8189284064699,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.82 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.010000). No finite t helps.
1/2,128.0,24,16777216,1,0.018305067796610168,0.27458815101684225,False,,101.78531012283352,101.78531012283352,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.79 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.018305). No finite t helps.
1/2,128.0,24,16777216,1,0.02661013559322034,0.2662830832202321,False,,101.75043272143529,101.75043272143529,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.75 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.026610). No finite t helps.
1/2,128.0,24,16777216,1,0.03491520338983051,0.2579780154236219,False,,101.71421332153825,101.71421332153825,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.71 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.034915). No finite t helps.
1/2,128.0,24,16777216,1,0.04322027118644068,0.24967294762701175,False,,101.67656084102438,101.67656084102438,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.68 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.043220). No finite t helps.
1/2,128.0,24,16777216,1,0.051525338983050846,0.2413678798304016,False,,101.63737488446439,101.63737488446439,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.64 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.051525). No finite t helps.
