axis,label,p,n,k,rho,log_p,delta,margin_rE_minus_delta,word_type,tag,L,smallest_r,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12
"fix_nk_vary_p(n=16,k=2)",GF(1249)_n16_k2,1249,16,2,0.125,7.130099,0.75,0.072172,adversarial_cluster,cluster_plurality,4,5,4948.170281,1240.134424,317.550116,87.826774,31.724288,20.35663,22.007808,29.460001,42.049758,61.384991,90.567258,134.445103
"fix_nk_vary_p(n=16,k=2)",GF(1249)_n16_k2,1249,16,2,0.125,7.130099,0.75,0.072172,coset_kambire,X^4,4,5,4948.192771,1240.134351,316.035612,84.237733,25.351663,10.026866,5.861205,4.644729,4.251289,4.1079,4.049483,4.023599
"fix_nk_vary_p(n=16,k=2)",GF(1249)_n16_k2,1249,16,2,0.125,7.130099,0.75,0.072172,random,random_0,0,6,4948.228112,1240.134238,314.615765,81.739523,22.206493,6.518874,2.152445,0.823524,0.365397,0.183447,0.101115,0.059802
"fix_nk_vary_p(n=16,k=2)",GF(1489)_n16_k2,1489,16,2,0.125,7.30586,0.75,0.073441,adversarial_cluster,cluster_plurality,4,5,5908.148148,1480.112754,376.786005,100.747826,31.341779,13.997956,10.073557,9.85165,10.883473,12.577667,14.840262,17.730546
"fix_nk_vary_p(n=16,k=2)",GF(1489)_n16_k2,1489,16,2,0.125,7.30586,0.75,0.073441,coset_kambire,X^4,4,5,5908.161616,1480.112718,376.029929,99.239745,29.105433,10.967587,6.097795,4.704699,4.266747,4.112022,4.050654,4.023968
"fix_nk_vary_p(n=16,k=2)",GF(1489)_n16_k2,1489,16,2,0.125,7.30586,0.75,0.073441,random,random_0,0,6,5908.193939,1480.112631,374.517775,96.60264,25.815379,7.329125,2.279942,0.795991,0.312384,0.134808,0.062024,0.029639
"fix_nk_vary_p(n=16,k=2)",GF(1697)_n16_k2,1697,16,2,0.125,7.436617,0.75,0.074346,adversarial_cluster,cluster_plurality,4,5,6740.14176,1688.098914,428.026292,112.241021,32.357837,11.782142,6.302334,4.75636,4.27996,4.11549,4.051612,4.024256
"fix_nk_vary_p(n=16,k=2)",GF(1697)_n16_k2,1697,16,2,0.125,7.436617,0.75,0.074346,coset_kambire,X^4,4,5,6740.14176,1688.098914,428.026292,112.241021,32.357837,11.782142,6.302334,4.75636,4.27996,4.11549,4.051612,4.024256
"fix_nk_vary_p(n=16,k=2)",GF(1697)_n16_k2,1697,16,2,0.125,7.436617,0.75,0.074346,random,random_0,0,6,6740.170112,1688.098847,426.515635,109.605402,29.06886,8.144371,2.484897,0.847892,0.325733,0.138351,0.063022,0.02995
"fix_nk_vary_p(n=20,k=4)",GF(41)_n20_k4,41,20,4,0.2,3.713572,0.6,0.06658,adversarial_cluster,cluster_plurality,3,8,111972.987013,16559.023444,3489.575754,934.207157,295.61357,108.03899,45.691241,22.766692,13.663628,9.894286,8.375855,7.89834
