field,q,n,k,rho,n_over_q,johnson,capacity,delta,delta_minus_johnson,delta_minus_capacity,meaningful_regime,smooth_close_mean,random_close_mean,close_mean_diff,smooth_close_max,random_close_max,smooth_frac_bad,random_frac_bad,badfrac_diff,smooth_Sstar_min_among_close,random_Sstar_min_among_close,smooth_num_lines,control_bad
GF(257),257,8,2,0.25,0.03113,0.5,0.75,0.77,0.27,0.02,False,257.0,257.0,0.0,257,257,0.0,0.0,0.0,2,2,140,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.2205,-0.147,-0.3795,True,0.1944,0.1667,0.0278,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.294,-0.0735,-0.306,True,0.1944,0.1667,0.0278,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.3308,-0.0367,-0.2692,True,0.1944,0.1667,0.0278,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.3675,-0.0,-0.2325,True,0.1944,0.1667,0.0278,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.4257,0.0582,-0.1743,True,8.3889,8.4722,-0.0833,10,10,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.4838,0.1163,-0.1162,True,8.3889,8.4722,-0.0833,10,10,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.5419,0.1744,-0.0581,True,8.3889,8.4722,-0.0833,10,10,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.6,0.2325,0.0,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(521),521,5,2,0.4,0.0096,0.3675,0.6,0.62,0.2525,0.02,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.3,-0.2,-0.45,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.4,-0.1,-0.35,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.45,-0.05,-0.3,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.5,0.0,-0.25,True,0.3333,0.25,0.0833,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.5625,0.0625,-0.1875,True,0.3333,0.25,0.0833,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.625,0.125,-0.125,True,44.9167,44.75,0.1667,56,56,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.6875,0.1875,-0.0625,True,44.9167,44.75,0.1667,56,56,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.75,0.25,0.0,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(521),521,8,2,0.25,0.01536,0.5,0.75,0.77,0.27,0.02,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.3317,-0.2211,-0.4683,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
