field,q,n,k,rho,domain,has_open_band,J,r_E,cap,UD,e,delta,delta_minus_J,delta_minus_rE,delta_minus_cap,max_list,max_family,johnson_const_bound,elias_volume_exp,elias_volume_pred
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,1,0.125,-0.167893,-0.141048,-0.375,0,,5.956,-0.24469,0.0039
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,2,0.25,-0.042893,-0.016048,-0.25,1,nearcw,23.314,-0.05687,0.2755
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,3,0.375,0.082107,0.108952,-0.125,6,kambire,,0.10048,9.7515
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,4,0.5,0.207107,0.233952,0.0,70,deephole,,0.23395,200.8742
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,5,0.625,0.332107,0.358952,0.125,786,nearcw,,0.34513,2496.3779
GF(17),17,8,4,0.5,random_domain,False,0.2929,0.266,0.5,0.3125,6,0.75,0.457107,0.483952,0.25,6398,deephole,,0.43243,18058.2896
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,6,0.4,-0.234852,-0.395947,-0.466667,1,nearcw,15.968,-0.34558,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,7,0.466667,-0.168185,-0.32928,-0.4,1,nearcw,22.297,-0.27573,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,8,0.533333,-0.101518,-0.262614,-0.333333,2,maxcluster,36.939,-0.20911,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,9,0.6,-0.034852,-0.195947,-0.266667,2,maxcluster,107.599,-0.14572,0.0
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,10,0.666667,0.031815,-0.12928,-0.2,2,maxcluster,,-0.08568,0.0008
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,11,0.733333,0.098482,-0.062614,-0.133333,15,deephole,,-0.02927,0.0876
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,12,0.8,0.165148,0.004053,-0.066667,35,deephole,,0.02301,6.7794
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,13,0.866667,0.231815,0.07072,0.0,105,deephole,,0.0702,343.5169
GF(2^8),256,15,2,0.1333,smooth,True,0.6349,0.7959,0.8667,0.4667,14,0.933333,0.298482,0.137386,0.066667,3785,deephole,,0.11018,9550.3517
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,6,0.4,-0.234852,-0.395947,-0.466667,1,nearcw,15.968,-0.34558,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,7,0.466667,-0.168185,-0.32928,-0.4,1,nearcw,22.297,-0.27573,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,8,0.533333,-0.101518,-0.262614,-0.333333,2,maxcluster,36.939,-0.20911,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,9,0.6,-0.034852,-0.195947,-0.266667,2,maxcluster,107.599,-0.14572,0.0
GF(2^8),256,15,2,0.1333,random_domain,True,0.6349,0.7959,0.8667,0.4667,10,0.666667,0.031815,-0.12928,-0.2,2,maxcluster,,-0.08568,0.0008
