ext_field,p,e,q,domain,domain_field,s_genuine_extension,n,k,s,m,r,rho,capacity,design_delta,eta_2_over_s,exp_f,exp_g,delta,delta_minus_capacity,close_count,frac_close,S_star,ca_threshold,g_max_single_agreement,meaningful_regime,is_bad_line,predicted_sumset_size
GF(5^2),5,2,25,prime_control_subgroup,GF(17),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,17,1.0,2,2,4,False,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,49,1.0,2,2,4,False,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,3,10,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,3,9,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,3,8,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,3,7,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,3,6,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,3,6,4,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,4,0.081633,3,5,4,True,True,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,49,1.0,3,2,4,False,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(17),True,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,17,1.0,2,2,4,False,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(7^2),7,2,49,smooth_ext_subgroup,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,49,1.0,2,2,4,False,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,2,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,2,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,1,0.020408,2,5,2,True,False,0
GF(7^2),7,2,49,random_ext_subset,GF(7^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,49,1.0,2,2,2,False,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(41),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(41),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(41),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(7^2),7,2,49,prime_control_subgroup,GF(41),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,41,1.0,2,2,4,False,False,0
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,8,0.098765,2,6,4,True,True,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,8,0.098765,2,6,4,True,True,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,8,0.098765,2,5,4,True,True,8
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,81,1.0,2,2,4,False,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,1,0.012346,2,5,3,True,False,8
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,81,1.0,2,2,3,False,False,8
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(97),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,97,1.0,2,2,4,False,False,0
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(3^4),3,4,81,smooth_ext_subgroup,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,81,1.0,2,2,4,False,False,0
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,2,True,False,0
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,2,True,False,0
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,2,True,False,0
GF(3^4),3,4,81,random_ext_subset,GF(3^4),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,81,1.0,2,2,2,False,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(73),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(73),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(73),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(3^4),3,4,81,prime_control_subgroup,GF(73),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,73,1.0,2,2,4,False,False,0
GF(11^2),11,2,121,smooth_ext_subgroup,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(11^2),11,2,121,smooth_ext_subgroup,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(11^2),11,2,121,smooth_ext_subgroup,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(11^2),11,2,121,smooth_ext_subgroup,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,121,1.0,2,2,4,False,False,0
GF(11^2),11,2,121,random_ext_subset,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,3,True,False,0
GF(11^2),11,2,121,random_ext_subset,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,3,True,False,0
GF(11^2),11,2,121,random_ext_subset,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,3,True,False,0
GF(11^2),11,2,121,random_ext_subset,GF(11^2),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,121,1.0,2,2,3,False,False,0
GF(11^2),11,2,121,prime_control_subgroup,GF(113),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(11^2),11,2,121,prime_control_subgroup,GF(113),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(11^2),11,2,121,prime_control_subgroup,GF(113),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(11^2),11,2,121,prime_control_subgroup,GF(113),True,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,113,1.0,2,2,4,False,False,0
GF(13^2),13,2,169,smooth_ext_subgroup,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(13^2),13,2,169,smooth_ext_subgroup,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(13^2),13,2,169,smooth_ext_subgroup,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(13^2),13,2,169,smooth_ext_subgroup,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,169,1.0,2,2,4,False,False,0
GF(13^2),13,2,169,random_ext_subset,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,2,True,False,0
GF(13^2),13,2,169,random_ext_subset,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,2,True,False,0
GF(13^2),13,2,169,random_ext_subset,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,2,True,False,0
GF(13^2),13,2,169,random_ext_subset,GF(13^2),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,169,1.0,2,2,2,False,False,0
GF(13^2),13,2,169,prime_control_subgroup,GF(193),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.125,-0.625,0,0.0,2,7,4,True,False,0
GF(13^2),13,2,169,prime_control_subgroup,GF(193),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.25,-0.5,0,0.0,2,6,4,True,False,0
GF(13^2),13,2,169,prime_control_subgroup,GF(193),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.375,-0.375,0,0.0,2,5,4,True,False,0
GF(13^2),13,2,169,prime_control_subgroup,GF(193),False,8,2,4,2,3,0.25,0.75,0.25,0.5,6,4,0.75,0.0,193,1.0,2,2,4,False,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.6875,-0.25,0,0.0,2,10,4,True,False,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.71875,-0.2188,0,0.0,2,9,4,True,False,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.75,-0.1875,0,0.0,2,8,4,True,False,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,4,True,False,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,16,0.055363,2,6,4,True,True,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,16,0.055363,2,5,4,True,True,16
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,289,1.0,2,2,4,False,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.6875,-0.25,0,0.0,2,10,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.71875,-0.2188,0,0.0,2,9,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.75,-0.1875,0,0.0,2,8,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,0,0.0,2,6,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,0,0.0,2,5,4,True,False,16
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,289,1.0,2,2,4,False,False,16
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.6875,-0.25,0,0.0,2,10,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.71875,-0.2188,0,0.0,2,9,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.75,-0.1875,0,0.0,2,8,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.78125,-0.1562,0,0.0,2,7,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.8125,-0.125,0,0.0,2,6,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.84375,-0.0938,0,0.0,2,5,4,True,False,0
GF(17^2),17,2,289,prime_control_subgroup,GF(257),False,32,2,16,2,3,0.0625,0.9375,0.8125,0.125,6,4,0.9375,0.0,257,1.0,2,2,4,False,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.625,-0.25,0,0.0,2,6,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.635723,-0.2393,0,0.0,2,6,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.6875,-0.1875,0,0.0,2,5,4,True,False,0
GF(17^2),17,2,289,smooth_ext_subgroup,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.875,0.0,289,1.0,2,2,4,False,False,0
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.375,-0.5,0,0.0,2,10,2,True,False,0
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.4375,-0.4375,0,0.0,2,9,2,True,False,0
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5,-0.375,0,0.0,2,8,2,True,False,0
GF(17^2),17,2,289,random_ext_subset,GF(17^2),False,16,2,8,2,3,0.125,0.875,0.625,0.25,6,4,0.5625,-0.3125,0,0.0,2,7,2,True,False,0
